WineName,AvgScore,ScoreCount,Light,Smooth,Dry,Soft
Feudi Del Pisciotto Nero D'Avola,3.9,2749,78.8177,38.6092,25.4117,29.7642
Calera Chardonnay,3.8,4034,80,32.4933,47.0544,
La Jota Merlot,4.4,584,66.4026,22.24,18.3186,13.1321
Stark-Condé Cabernet Sauvignon,3.8,2513,73.8551,65.0029,4.24534,60.9008
Lingenfelder Riesling,3.8,412,41.3627,19.4223,80,
Casanova Di Neri Brunello Di Montalcino,4.3,21627,46.7734,54.2418,8.06935,60.2751
Pascal Jolivet Sancerre Rouge,4.1,6748,27.3039,28.3298,0,75.3269
Niepoort Vintage Port,4.4,2398,,,,
Saxum Broken Stones,4.6,1355,80,53.5012,9.64595,52.1776
Rex Hill Pinot Noir,4.1,3764,23.4915,19.3817,2.15332,63.9369
Petrolo Toscana Torrione,3.8,6156,47.3707,41.7664,6.52076,45.541
Shafer Relentless,4.5,5614,76.748,55.6371,6.25555,41.114
Mocali Brunello Di Montalcino,4.1,3633,45.3011,55.8826,1.53917,63.6646
Château Lamartine Cahors,3.6,1731,,,,
Palacios Remondo Rioja La Vendimia,3.7,12035,57.3215,59.0646,6.7718,59.6375
Byron Chardonnay,3.7,218,80,38.3826,45.9565,
Blandy'S Bual Madeira,4.5,614,80,80,65.5431,
Quinta Do Vale Meão DoUro,4.6,8841,78.1942,54.6909,8.00918,41.7407
Innocent Bystander Pinot Noir,3.6,4188,37.4981,8.9888,1.37689,52.7312
Château Malmaison Moulis-En-Médoc,3.7,3046,70.0391,70.4387,5.567,69.1866
Mulderbosch Sauvignon Blanc,3.7,2080,29.4881,0,66.5279,
Brothers In Arms Shiraz,4.1,897,80,43.3579,19.4458,38.6898
Château Clerc Milon Pauillac (Grand Cru Classé),4.2,17887,70.7373,71.458,5.00381,70.3055
Alois Lageder Pinot Bianco,3.6,1208,31.5509,0,57.9812,
Ghost Pines Pinot Noir,3.7,2794,41.0319,16.7219,7.93615,48.3646
Quinta Do Vallado Touriga Nacional,4.0,9655,76.9505,54.2361,8.85859,42.484
Skouras Moscofilero,3.9,3435,,,,
Fonterutoli Chianti Classico,3.8,24042,43.6565,52.8032,2.79934,59.7309
Trimbach Riesling Alsace Réserve,3.7,5367,41.1596,17.3052,77.6271,
Château Plince Pomerol,4.1,4850,71.5581,51.5779,4.44836,48.3391
Lavau Gigondas,4.0,1834,64.5705,44.7762,4.77511,52.6052
Domaine Giraud Châteauneuf-Du-Pape,4.2,1278,80,35.5086,2.87178,43.1643
Baer Ursa,4.1,723,65.3452,47.7276,3.09091,59.8858
Sadie Family Palladius,4.5,2228,,,,
Los Vascos Sauvignon Blanc,3.4,5136,38.7451,0,65.9402,
Château Haut-Bages Libéral Pauillac (Grand Cru Classé),4.1,14542,70.7104,71.8136,2.758,70.5082
Outpost Zinfandel,4.3,982,80,29.1442,25.4083,10.272
Gaja Barbaresco,4.5,21122,57.6153,65.5207,5.28252,80
Château Sociando-Mallet Haut-Médoc,4.1,25732,70.0722,71.1638,4.71523,69.4987
Domaine De La Vieille Julienne Châteauneuf-Du-Pape,4.0,1586,80,42.3699,10.8208,42.0232
Castello Di Querceto Chianti Classico Riserva,3.8,5490,40.7839,53.8185,0,61.7639
Beronia Rioja Gran Reserva,4.1,16395,62.9209,56.519,8.88769,56.9581
Mt. Beautiful Sauvignon Blanc,3.8,2158,29.3132,0,75.294,
Fattoria Le Pupille Morellino Di Scansano Riserva,3.9,2607,46.1264,40.7402,4.03696,44.5389
Mt. Brave Cabernet Sauvignon,4.4,4010,80,51.2626,3.14868,51.5157
Isabel Sauvignon Blanc,3.9,1641,29.5503,2.45648,75.3123,
Recanati Cabernet Sauvignon,3.7,1914,72.7161,45.3577,4.67692,43.7586
Château Du Retout Haut-Médoc,3.8,6019,73.1706,74.7215,1.04486,72.5355
Tormaresca Primitivo Salento Torcicoda,4.0,23453,64.3827,20.3368,37.094,11.5043
Quinta Do Noval Vintage Port,4.4,1590,,,,
Château De Lascaux Coteaux Du Languedoc Rouge,3.6,790,62.7874,61.5024,3.75234,61.388
Boutari Naoussa Boutari,3.3,4544,40.9295,61.9425,7.44941,63.2545
Polkura Syrah,4.0,4337,80,37.5359,9.50501,23.9712
Greywacke Sauvignon Blanc,4.1,10832,29.3587,0,75.9551,
Château Pichon Baron Pauillac (Grand Cru Classé),4.4,32184,69.6488,70.4723,7.4595,69.9376
Bodegas Esmeralda Chardonnay,3.3,168,41.5983,25.7935,43.908,
Il Conte Villa Prandone Rosso Piceno Superiore Marinus,3.9,675,46.0238,43.3395,11.6976,41.4359
Merryvale Profile,4.5,2329,80,50.5954,7.64792,60.6813
Paloma Merlot,4.4,1245,64.9679,16.8396,12.9116,8.10097
Uccelliera Brunello Di Montalcino,4.3,4615,48.6598,56.6139,5.94113,60.7684
Polkura Syrah,4.0,4337,80,37.5359,9.50501,23.9712
Dierberg Pinot Noir,4.1,1814,43.4199,17.8162,4.69248,50.7344
